Age Group,Gender,Tenure,Num Of Products,Is Active Member,Stay,Employees
2,1,3,1,0,5,11
2,1,4,1,0,5,10
2,1,4,1,1,2,13
2,0,7,1,0,3,10
2,1,7,1,0,2,14
2,0,4,2,0,4,12
2,1,8,2,0,1,12
3,0,0,1,0,7,14
3,1,0,1,0,5,13
3,1,0,1,1,3,13
3,0,1,1,0,13,25
3,1,1,1,0,8,23
3,0,1,1,1,4,17
3,1,1,1,1,12,22
3,0,2,1,0,9,18
3,1,2,1,0,4,13
3,0,2,1,1,10,23
3,1,2,1,1,6,27
3,0,3,1,0,3,16
3,1,3,1,0,11,23
3,0,3,1,1,10,24
3,1,3,1,1,5,22
3,0,4,1,0,11,15
3,1,4,1,0,5,18
3,0,4,1,1,2,12
3,1,4,1,1,5,18
3,0,5,1,0,15,25
3,1,5,1,0,6,18
3,0,5,1,1,5,15
3,1,5,1,1,7,22
3,0,6,1,0,17,29
3,1,6,1,0,11,20
3,0,6,1,1,9,20
3,1,6,1,1,7,17
3,0,7,1,0,7,13
3,1,7,1,0,9,23
3,0,7,1,1,9,25
3,1,7,1,1,2,18
3,0,8,1,0,12,20
3,1,8,1,0,11,23
3,1,8,1,1,3,13
3,0,9,1,0,12,25
3,1,9,1,0,11,35
3,0,9,1,1,6,14
3,1,9,1,1,5,19
3,0,10,1,0,7,15
3,1,10,1,0,5,12
3,1,10,1,1,1,10
3,0,1,2,0,1,10
3,1,1,2,0,0,16
3,1,1,2,1,2,24
3,0,2,2,0,7,16
3,1,2,2,0,2,24
3,0,2,2,1,3,16
3,1,2,2,1,1,32
3,0,3,2,0,5,17
3,0,3,2,1,1,19
3,1,3,2,1,0,11
3,0,4,2,0,4,11
3,1,4,2,0,4,18
3,0,4,2,1,2,11
3,1,4,2,1,2,19
3,0,5,2,0,1,10
3,1,5,2,0,2,13
3,0,5,2,1,0,12
3,1,5,2,1,0,13
3,0,6,2,0,3,18
3,1,6,2,0,4,15
3,0,6,2,1,3,11
3,1,6,2,1,2,21
3,1,7,2,0,5,21
3,0,7,2,1,1,14
3,1,7,2,1,1,20
3,0,8,2,0,5,14
3,1,8,2,0,4,16
3,0,8,2,1,4,13
3,1,8,2,1,1,20
3,0,9,2,0,3,16
3,1,9,2,0,2,15
3,0,9,2,1,1,11
3,1,9,2,1,0,16
3,0,10,2,1,4,10
4,1,0,1,0,8,10
4,0,0,1,1,12,14
4,1,0,1,1,4,11
4,0,1,1,0,28,29
4,1,1,1,0,19,27
4,0,1,1,1,11,14
4,1,1,1,1,5,12
4,0,2,1,0,24,27
4,1,2,1,0,20,25
4,0,2,1,1,8,16
4,1,2,1,1,13,18
4,0,3,1,0,18,22
4,1,3,1,0,14,20
4,0,3,1,1,12,21
4,1,3,1,1,7,13
4,0,4,1,0,19,20
4,1,4,1,0,21,24
4,0,4,1,1,8,13
4,1,4,1,1,10,19
4,0,5,1,0,19,22
4,1,5,1,0,16,19
4,0,5,1,1,10,14
4,1,5,1,1,6,15
4,0,6,1,0,18,22
4,1,6,1,0,21,26
4,0,6,1,1,9,13
4,1,6,1,1,9,12
4,0,7,1,0,17,23
4,1,7,1,0,9,14
4,0,7,1,1,6,10
4,1,7,1,1,11,23
4,0,8,1,0,17,23
4,1,8,1,0,20,31
4,0,8,1,1,6,11
4,1,8,1,1,10,15
4,0,9,1,0,31,35
4,1,9,1,0,22,24
4,0,9,1,1,7,10
4,1,9,1,1,6,14
4,0,10,1,0,13,15
4,0,10,1,1,8,12
4,1,1,2,0,5,10
4,0,1,2,1,4,12
4,1,1,2,1,3,10
4,1,2,2,0,4,10
4,0,2,2,1,2,10
4,1,2,2,1,2,11
4,0,3,2,0,5,10
4,1,3,2,0,3,10
4,0,4,2,0,6,11
4,1,4,2,1,1,11
4,1,5,2,0,3,11
4,1,6,2,0,3,11
4,0,6,2,1,7,13
4,0,7,2,0,7,14
4,0,8,2,0,4,11
4,1,9,2,0,5,14
5,0,1,1,0,17,17
5,1,1,1,0,11,12
5,0,1,1,1,12,16
5,1,1,1,1,7,13
5,0,2,1,0,12,12
5,1,2,1,0,13,13
5,1,3,1,0,14,15
5,0,4,1,0,13,13
5,1,4,1,0,12,13
5,0,4,1,1,11,12
5,1,4,1,1,8,10
5,0,5,1,0,11,12
5,1,5,1,0,10,11
5,1,5,1,1,9,11
5,1,6,1,0,10,11
5,0,7,1,0,11,12
5,0,8,1,0,10,11
5,1,8,1,1,9,11
5,1,9,1,0,15,15