County,ED visits,Asthma_children,A5.9,A10.14,A15.17,No.Hospitals,PercentLessHS,PercentHS,MedianIncome,SpecDist,PedDist
Jenkins,30,72,1,0,0,1,0.240666823,0.394458793,30073.5,21.5,25
Jenkins,12,34,0,1,0,1,0.240666823,0.394458793,30073.5,21.5,25
Lanier,14,40,0,1,0,1,0.217075197,0.373286248,41080,22,25
Calhoun,16,55,1,0,0,1,0.282470961,0.394403379,45307,35.5,
Rabun,17,59,0,1,0,1,0.173302108,0.328103044,46637.6,30,25
DeKalb,752,2652,0,1,0,6,0.104315698,0.221335938,67756.55944,5.645833333,2.932704365
Calhoun,7,26,0,1,0,1,0.282470961,0.394403379,45307,35.5,
Macon,16,60,0,1,0,1,0.169129348,0.511252557,31044.25,33.5,11.46774457
Ben Hill,17,66,0,1,0,1,0.260966377,0.38009352,32267.4,25.6,11.76718087
Washington,19,74,0,1,0,1,0.209044065,0.458422175,36046,25.8,15.99927382
Ware,78,312,1,0,0,1,0.176848008,0.405025071,44973.77778,3.444444444,9.429471813
Berrien,19,76,0,1,0,1,0.259908695,0.334405478,44918.16667,20.5,25
Ware,36,146,0,1,0,1,0.176848008,0.405025071,44973.77778,3.444444444,9.429471813
Randolph,10,41,1,0,0,1,0.236728061,0.36375948,23154,34,
Grady,26,107,0,1,0,1,0.241107963,0.408168083,35778,19.33333333,19.82122336
Richmond,183,771,0,1,0,4,0.145983037,0.311226293,39802.21739,4.595744681,4.194022801
Greene,31,132,1,0,0,1,0.236665065,0.414344065,36431.5,8.428571429,18.7277609
Fulton,802,3440,0,1,0,11,0.089359576,0.187111106,73405.90625,3.772277228,2.985714894
Greene,13,56,0,1,0,1,0.236665065,0.414344065,36431.5,8.428571429,18.7277609
Lanier,22,96,1,0,0,1,0.217075197,0.373286248,41080,22,25
Burke,29,128,0,1,0,0,0.209240069,0.452417962,43102.66667,29.16666667,19.41726176
Worth,22,99,0,1,0,1,0.215947736,0.394755683,46701,20.4,7.896633677
Jasper,12,57,0,1,0,1,0.178001908,0.440915906,45329,25.33333333,25
Laurens,41,196,0,1,0,1,0.163755016,0.434031859,44083.61538,7,8.035224243
Brooks,14,69,0,1,0,1,0.171975309,0.379382716,44153.2,22.2,14.53205128
Worth,37,184,1,0,0,1,0.215947736,0.394755683,46701,20.4,7.896633677
Screven,22,110,1,0,0,1,0.192359611,0.469492441,46860.6,7.2,21.57265551
Chatham,181,906,0,1,0,3,0.103400083,0.294886727,52375.35294,3.724637681,3.140363083
Pierce,14,71,0,1,0,0,0.175270739,0.42718957,56463,12,25
Richmond,355,1819,1,0,0,4,0.145983037,0.311226293,39802.21739,4.595744681,4.194022801
Heard,11,57,0,1,0,0,0.24976107,0.406498885,42930.66667,26.66666667,25
Warren,4,21,0,1,0,0,0.255905512,0.520669291,40514,33.5,
Taylor,8,42,0,1,0,0,0.336105779,0.360418,28671.33333,34.33333333,25
Tattnall,18,95,0,1,0,1,0.245127436,0.468590705,38054,26.4,25
DeKalb,1149,6100,1,0,0,6,0.104315698,0.221335938,67756.55944,5.645833333,2.932704365
Spalding,46,249,0,1,0,1,0.219655607,0.377272455,46212.5,21.41666667,9.323072362
Clayton,221,1220,0,1,0,1,0.159750473,0.324285223,41934.61224,10.63265306,3.290241003
Douglas,116,641,0,1,0,1,0.111005531,0.316848674,60188.25,9.3,4.662408207
Rockdale,70,388,0,1,0,1,0.132302598,0.292954154,60376.13333,13.46666667,2.210781366
Camden,43,239,0,1,0,1,0.091084028,0.32853592,53758.4,38.2,13.43256258
Talbot,5,28,0,1,0,0,0.157102051,0.507141002,46912.66667,29,25
Franklin,13,73,0,1,0,1,0.226023104,0.400107459,48297,36.6,5.698430295
Evans,8,45,0,1,0,1,0.224575498,0.38433449,38050,22,25
Randolph,6,34,0,1,0,1,0.236728061,0.36375948,23154,34,
Miller,4,23,0,1,0,1,0.19732986,0.410289808,28483,15.33333333,13.33608982
Burke,37,214,1,0,0,0,0.209240069,0.452417962,43102.66667,29.16666667,19.41726176
Thomas,33,191,0,1,0,1,0.152948349,0.382849926,42573.18182,7.181818182,7.11708854
Screven,12,70,0,1,0,1,0.192359611,0.469492441,46860.6,7.2,21.57265551
Fulton,1384,8099,1,0,0,11,0.089359576,0.187111106,73405.90625,3.772277228,2.985714894
Brooks,20,118,1,0,0,1,0.171975309,0.379382716,44153.2,22.2,14.53205128
Troup,47,278,0,1,0,1,0.168875944,0.348778458,48358.07143,5,7.016565034
Bacon,8,48,0,1,0,0,0.221258503,0.471258503,52641,28.33333333,25
Seminole,6,36,0,1,0,1,0.194026448,0.37004104,25002,2.333333333,3.31
Dougherty,66,400,0,1,0,2,0.157413202,0.294801804,34895.25926,3.555555556,2.958901572
Hancock,11,67,1,0,0,0,0.275965504,0.460254968,26515,20,20.59413773
Lamar,9,55,0,1,0,0,0.185431185,0.455248258,45478.33333,38,20.50633469
Lowndes,65,398,0,1,0,2,0.148391842,0.308094462,50247.48,4.84,12.19009498
Early,7,44,0,1,0,1,0.18011395,0.418305459,51846.8,50,
Decatur,21,132,0,1,0,1,0.216117216,0.368272753,38488.42857,6.571428571,13.36462197
Grady,38,241,1,0,0,1,0.241107963,0.408168083,35778,19.33333333,19.82122336
Toombs,20,128,0,1,0,1,0.151338853,0.411576042,40067.5,5.5,5.611988941
Dougherty,142,911,1,0,0,2,0.157413202,0.294801804,34895.25926,3.555555556,2.958901572
Terrell,14,90,1,0,0,0,0.288925552,0.339657661,33801,17,21.5055346
Monroe,16,103,0,1,0,1,0.15248705,0.374370255,54281.6,24.8,20.56503807
Crisp,18,116,0,1,0,1,0.236975803,0.389821751,30041.16667,7.833333333,3.497697366
Taliaferro,2,13,1,0,0,0,0.338679245,0.426415094,16458,26,25
Baker,2,13,0,1,0,0,0.216019417,0.371359223,37098.5,13,24.06868105
Taylor,12,79,1,0,0,0,0.336105779,0.360418,28671.33333,34.33333333,25
Irwin,6,40,0,1,0,1,0.2877771,0.381736831,51637.5,19.5,10.02711115
Calhoun,3,20,0,0,1,1,0.282470961,0.394403379,45307,35.5,
Crawford,7,47,0,1,0,0,0.177414773,0.413494318,37873.66667,19,22.13820092
Charlton,7,47,0,1,0,1,0.248833139,0.434364061,42845.5,17,8.85746416
Treutlen,4,27,0,1,0,0,0.207113543,0.47004104,34144,21,22.75577994
Evans,18,122,1,0,0,1,0.224575498,0.38433449,38050,22,25
Early,19,129,1,0,0,1,0.18011395,0.418305459,51846.8,50,
Cook,11,75,0,1,0,1,0.226865324,0.388895356,32474.25,19,25
Muscogee,113,784,0,1,0,4,0.12372403,0.295208081,42469.62745,2.962264151,4.12619038
Ware,22,153,0,0,1,1,0.176848008,0.405025071,44973.77778,3.444444444,9.429471813
Barrow,42,293,0,1,0,0,0.183446503,0.336770336,55017.38889,6.444444444,5.336370056
Tattnall,25,175,1,0,0,1,0.245127436,0.468590705,38054,26.4,25
Jefferson,24,169,1,0,0,1,0.234672304,0.449025135,41849,36.75,17.44018961
Johnson,11,79,1,0,0,0,0.325123153,0.361977741,36846.33333,21.66666667,22.33821698
Peach,17,124,0,0,1,1,0.164081509,0.3575882,39732,11.66666667,14.77892987
Jefferson,10,73,0,1,0,1,0.234672304,0.449025135,41849,36.75,17.44018961
Chatham,295,2159,1,0,0,3,0.103400083,0.294886727,52375.35294,3.724637681,3.140363083
Emanuel,12,89,0,1,0,1,0.259040915,0.372283326,37670.33333,31.16666667,15.59833733
Bartow,58,440,0,1,0,1,0.186762704,0.405210224,57496.2,8.133333333,7.490320214
Pickens,15,114,0,1,0,1,0.188900013,0.342385183,66312,17.16666667,15.00129811
Cook,23,177,1,0,0,1,0.226865324,0.388895356,32474.25,19,25
Gwinnett,482,3725,0,1,0,3,0.118878578,0.222000667,64561.15044,6.504424779,2.305657159
Candler,8,62,0,0,1,1,0.16856536,0.481946322,39512,20,21.84131068
Cobb,366,2849,0,1,0,3,0.087637454,0.187315166,77446.96639,5.316666667,3.048156212
Wilkes,5,39,0,1,0,1,0.234758872,0.41055505,30931.5,29.75,9.040807902
Paulding,93,734,0,1,0,1,0.115978964,0.363821467,69686.26316,12.42105263,9.645178249
Clarke,35,280,0,1,0,2,0.140180137,0.218541579,47538.07143,3.8,2.733635251
Washington,14,112,0,0,1,1,0.209044065,0.458422175,36046,25.8,15.99927382
Upson,28,224,1,0,0,1,0.194052988,0.421293687,46314,24.28571429,4.515828503
Bulloch,28,226,0,1,0,1,0.126161972,0.311021127,41842,5.25,6.087728266
Spalding,79,640,1,0,0,1,0.219655607,0.377272455,46212.5,21.41666667,9.323072362
Baldwin,38,308,1,0,0,1,0.195488398,0.370700418,42390.11111,3.444444444,3.149324476
Houston,73,596,0,1,0,2,0.107758983,0.268296446,53104.43478,5.217391304,3.18258296
Grady,14,116,0,0,1,1,0.241107963,0.408168083,35778,19.33333333,19.82122336
Pierce,24,200,1,0,0,0,0.175270739,0.42718957,56463,12,25
Mitchell,27,225,1,0,0,1,0.311522965,0.385656728,36085.8,29.6,12.31137441
Hart,9,75,0,1,0,1,0.198035633,0.394015532,37601.6,15.6,10.96871809
Clayton,352,2934,1,0,0,1,0.159750473,0.324285223,41934.61224,10.63265306,3.290241003
Liberty,36,303,0,1,0,1,0.08891682,0.335009185,48628.14286,31.28571429,6.168510285
Candler,6,51,0,1,0,1,0.16856536,0.481946322,39512,20,21.84131068
Mitchell,12,102,0,1,0,1,0.311522965,0.385656728,36085.8,29.6,12.31137441
Polk,21,179,0,1,0,1,0.243145123,0.390178657,41351.14286,21.14285714,17.85592521
Laurens,57,493,1,0,0,1,0.163755016,0.434031859,44083.61538,7,8.035224243
Thomas,49,427,1,0,0,1,0.152948349,0.382849926,42573.18182,7.181818182,7.11708854
Camden,29,253,0,0,1,1,0.091084028,0.32853592,53758.4,38.2,13.43256258
Bulloch,60,525,1,0,0,1,0.126161972,0.311021127,41842,5.25,6.087728266
Rockdale,93,814,1,0,0,1,0.132302598,0.292954154,60376.13333,13.46666667,2.210781366
Henry,116,1018,0,1,0,1,0.08777805,0.314661434,70918.92,15.64,4.352161352
Newton,53,466,0,1,0,1,0.138736479,0.33635758,53359.07692,12.69230769,6.603029494
Butts,10,88,0,1,0,1,0.211083819,0.458013509,60974.33333,41.33333333,13.89913478
Brantley,10,88,0,1,0,0,0.220548391,0.48563997,40596.33333,19.33333333,15.02323455
Jasper,16,142,1,0,0,1,0.178001908,0.440915906,45329,25.33333333,25
Cook,10,89,0,0,1,1,0.226865324,0.388895356,32474.25,19,25
Montgomery,4,36,0,1,0,0,0.156939891,0.427540984,50974.66667,11.33333333,10.99708111
Polk,43,388,1,0,0,1,0.243145123,0.390178657,41351.14286,21.14285714,17.85592521
Cobb,732,6610,1,0,0,3,0.087637454,0.187315166,77446.96639,5.316666667,3.048156212
Baldwin,17,155,0,1,0,1,0.195488398,0.370700418,42390.11111,3.444444444,3.149324476
Treutlen,8,73,1,0,0,0,0.207113543,0.47004104,34144,21,22.75577994
Stephens,11,101,0,1,0,1,0.195287451,0.407352174,38693,41.6,3.0975
Wilkinson,5,46,0,1,0,0,0.140791324,0.520586463,41392.33333,19,22.19176517
Treutlen,3,28,0,0,1,0,0.207113543,0.47004104,34144,21,22.75577994
Newton,116,1086,1,0,0,1,0.138736479,0.33635758,53359.07692,12.69230769,6.603029494
Tift,18,171,0,1,0,1,0.210090399,0.302206959,45773.22222,4.666666667,11.05477912
Walton,39,371,0,1,0,1,0.16656035,0.364309473,58358.26667,17.53333333,5.72550885
Liberty,72,685,1,0,0,1,0.08891682,0.335009185,48628.14286,31.28571429,6.168510285
Coffee,19,182,0,1,0,1,0.230676775,0.386002219,37082.88889,5.555555556,6.381980068
Sumter,13,125,0,1,0,1,0.210872424,0.346214067,36081.5,15.375,5.858612421
Carroll,48,464,0,1,0,2,0.184277428,0.356183758,51318.58824,5.764705882,6.649117623
Coffee,44,427,1,0,0,1,0.230676775,0.386002219,37082.88889,5.555555556,6.381980068
Camden,47,458,1,0,0,1,0.091084028,0.32853592,53758.4,38.2,13.43256258
Douglas,135,1326,1,0,0,1,0.111005531,0.316848674,60188.25,9.3,4.662408207
Bibb,65,640,0,1,0,3,0.159653246,0.305279652,46862.22727,3.545454545,3.098507281
Burke,13,129,0,0,1,0,0.209240069,0.452417962,43102.66667,29.16666667,19.41726176
McDuffie,9,90,0,1,0,1,0.292658099,0.378292404,47862.4,36.5,23.45913063
Webster,1,10,0,1,0,0,0.193103448,0.517931034,23439,42.5,25
Colquitt,44,441,1,0,0,2,0.245881718,0.385183185,37562.5,11.1,13.98109215
Floyd,90,904,1,0,0,2,0.212556255,0.323599487,49891.75,4.8,4.527562518
Colquitt,20,201,0,1,0,2,0.245881718,0.385183185,37562.5,11.1,13.98109215
Decatur,25,258,1,0,0,1,0.216117216,0.368272753,38488.42857,6.571428571,13.36462197
Union,6,62,0,1,0,1,0.14659249,0.282985628,57731.16667,17,3.437428181
Muscogee,172,1785,1,0,0,4,0.12372403,0.295208081,42469.62745,2.962264151,4.12619038
Wheeler,2,21,0,1,0,1,0.265994844,0.468244668,42980.5,21,21.61071302
Haralson,12,127,0,1,0,1,0.264056225,0.383400268,50258.6,7.6,22.4334283
Towns,6,64,1,0,0,1,0.119087838,0.396959459,50038,3.333333333,18.27204383
Hancock,3,32,0,1,0,0,0.275965504,0.460254968,26515,20,20.59413773
Miller,6,64,1,0,0,1,0.19732986,0.410289808,28483,15.33333333,13.33608982
Laurens,22,241,0,0,1,1,0.163755016,0.434031859,44083.61538,7,8.035224243
Candler,8,88,1,0,0,1,0.16856536,0.481946322,39512,20,21.84131068
Upson,11,121,0,1,0,1,0.194052988,0.421293687,46314,24.28571429,4.515828503
Gwinnett,793,8752,1,0,0,3,0.118878578,0.222000667,64561.15044,6.504424779,2.305657159
Peach,20,222,1,0,0,1,0.164081509,0.3575882,39732,11.66666667,14.77892987
Morgan,7,78,0,1,0,1,0.170724127,0.341759039,54816,27.4,22.18671469
Lowndes,89,1005,1,0,0,2,0.148391842,0.308094462,50247.48,4.84,12.19009498
Elbert,9,102,0,0,1,1,0.250893979,0.423311105,29949.6,36.8,25
Fayette,87,989,1,0,0,1,0.041821838,0.184718944,95793.65,9,2.769002602
Elbert,7,80,0,1,0,1,0.250893979,0.423311105,29949.6,36.8,25
Schley,4,46,1,0,0,0,0.232714342,0.380086922,57265.5,16.5,15.14416952
Paulding,133,1534,1,0,0,1,0.115978964,0.363821467,69686.26316,12.42105263,9.645178249
Walton,74,854,1,0,0,1,0.16656035,0.364309473,58358.26667,17.53333333,5.72550885
Fulton,324,3765,0,0,1,11,0.089359576,0.187111106,73405.90625,3.772277228,2.985714894
Pickens,23,270,1,0,0,1,0.188900013,0.342385183,66312,17.16666667,15.00129811
Glynn,27,318,0,1,0,1,0.123621065,0.321845266,62801.2,4.666666667,2.86462606
Wilkinson,7,83,1,0,0,0,0.140791324,0.520586463,41392.33333,19,22.19176517
Houston,116,1379,1,0,0,2,0.107758983,0.268296446,53104.43478,5.217391304,3.18258296
DeKalb,251,2992,0,0,1,6,0.104315698,0.221335938,67756.55944,5.645833333,2.932704365
Coffee,17,203,0,0,1,1,0.230676775,0.386002219,37082.88889,5.555555556,6.381980068
Stewart,2,24,0,0,1,1,0.184274333,0.462071354,35206,36.5,25
Schley,2,24,0,0,1,0,0.232714342,0.380086922,57265.5,16.5,15.14416952
Pulaski,4,48,0,1,0,1,0.18998829,0.475263466,48040,32,3.450848865
Lincoln,5,60,1,0,0,0,0.160613208,0.452830189,30968.5,24.5,25
Wilcox,3,36,0,1,0,0,0.256039604,0.403366337,42538.25,3.25,21.54685218
Troup,59,710,1,0,0,1,0.168875944,0.348778458,48358.07143,5,7.016565034
Muscogee,68,822,0,0,1,4,0.12372403,0.295208081,42469.62745,2.962264151,4.12619038
Washington,17,206,1,0,0,1,0.209044065,0.458422175,36046,25.8,15.99927382
Coweta,46,559,0,1,0,1,0.100984743,0.327714768,70195.8,10.05,9.53067446
Pulaski,5,61,0,0,1,1,0.18998829,0.475263466,48040,32,3.450848865
Meriwether,8,98,0,1,0,1,0.246285418,0.460867312,42165.75,28.25,23.78129786
Troup,27,331,0,0,1,1,0.168875944,0.348778458,48358.07143,5,7.016565034
Wilkes,7,86,1,0,0,1,0.234758872,0.41055505,30931.5,29.75,9.040807902
Richmond,76,938,0,0,1,4,0.145983037,0.311226293,39802.21739,4.595744681,4.194022801
Baldwin,12,149,0,0,1,1,0.195488398,0.370700418,42390.11111,3.444444444,3.149324476
Peach,9,112,0,1,0,1,0.164081509,0.3575882,39732,11.66666667,14.77892987
Jackson,20,251,0,1,0,1,0.184282784,0.366387881,55891.90909,12.72727273,11.09555591
Gordon,19,239,0,1,0,1,0.241106165,0.38438891,46444.66667,20.77777778,11.86149176
Atkinson,3,38,0,1,0,0,0.326936915,0.437754857,23165,19,20.31916284
Carroll,83,1063,1,0,0,2,0.184277428,0.356183758,51318.58824,5.764705882,6.649117623
Butts,15,193,1,0,0,1,0.211083819,0.458013509,60974.33333,41.33333333,13.89913478
Jenkins,2,26,0,0,1,1,0.240666823,0.394458793,30073.5,21.5,25
Fayette,44,575,0,1,0,1,0.041821838,0.184718944,95793.65,9,2.769002602
Crisp,15,198,1,0,0,1,0.236975803,0.389821751,30041.16667,7.833333333,3.497697366
McDuffie,17,226,1,0,0,1,0.292658099,0.378292404,47862.4,36.5,23.45913063
Barrow,54,721,1,0,0,0,0.183446503,0.336770336,55017.38889,6.444444444,5.336370056
Mitchell,8,108,0,0,1,1,0.311522965,0.385656728,36085.8,29.6,12.31137441
Oglethorpe,6,81,0,1,0,0,0.211763178,0.32731758,61574.25,22.75,18.48707002
Union,12,162,1,0,0,1,0.14659249,0.282985628,57731.16667,17,3.437428181
Appling,5,68,0,1,0,0,0.219922905,0.436295395,42366.6,6,14.52877049
Bibb,110,1497,1,0,0,3,0.159653246,0.305279652,46862.22727,3.545454545,3.098507281
Terrell,3,41,0,1,0,0,0.288925552,0.339657661,33801,17,21.5055346
Monroe,17,233,1,0,0,1,0.15248705,0.374370255,54281.6,24.8,20.56503807
Forsyth,57,786,0,1,0,1,0.07623983,0.190906995,97883.86667,4.644444444,5.31247508
Jones,10,138,0,1,0,0,0.106791721,0.376714101,62899,12,15.80164015
Floyd,27,374,0,1,0,2,0.212556255,0.323599487,49891.75,4.8,4.527562518
Monroe,9,125,0,0,1,1,0.15248705,0.374370255,54281.6,24.8,20.56503807
Webster,1,14,0,0,1,0,0.193103448,0.517931034,23439,42.5,25
Chatham,76,1077,0,0,1,3,0.103400083,0.294886727,52375.35294,3.724637681,3.140363083
Gilmer,15,213,1,0,0,1,0.226577501,0.384824207,43544.6,4.2,13.34054048
Bulloch,17,243,0,0,1,1,0.126161972,0.311021127,41842,5.25,6.087728266
Randolph,3,43,0,0,1,1,0.236728061,0.36375948,23154,34,
Putnam,6,86,0,0,1,1,0.186137557,0.349141383,45369.4,12,7.265745916
Carroll,33,477,0,0,1,2,0.184277428,0.356183758,51318.58824,5.764705882,6.649117623
Warren,2,29,0,0,1,0,0.255905512,0.520669291,40514,33.5,
Crisp,8,117,0,0,1,1,0.236975803,0.389821751,30041.16667,7.833333333,3.497697366
Coweta,90,1319,1,0,0,1,0.100984743,0.327714768,70195.8,10.05,9.53067446
Wheeler,3,44,1,0,0,1,0.265994844,0.468244668,42980.5,21,21.61071302
Effingham,18,267,0,1,0,1,0.12342597,0.41822387,65668.6,10,15.7296101
Clarke,52,776,1,0,0,2,0.140180137,0.218541579,47538.07143,3.8,2.733635251
Dougherty,27,405,0,0,1,2,0.157413202,0.294801804,34895.25926,3.555555556,2.958901572
Franklin,14,210,1,0,0,1,0.226023104,0.400107459,48297,36.6,5.698430295
Dooly,3,45,0,1,0,0,0.260356547,0.439015006,25764,18.33333333,15.44343417
Hart,16,243,1,0,0,1,0.198035633,0.394015532,37601.6,15.6,10.96871809
Union,5,76,0,0,1,1,0.14659249,0.282985628,57731.16667,17,3.437428181
Lamar,11,168,1,0,0,0,0.185431185,0.455248258,45478.33333,38,20.50633469
Stewart,3,46,1,0,0,1,0.184274333,0.462071354,35206,36.5,25
Twiggs,3,46,0,0,1,0,0.31184739,0.431726908,30397.5,16.5,20.34045458
Irwin,6,92,1,0,0,1,0.2877771,0.381736831,51637.5,19.5,10.02711115
Toombs,9,138,0,0,1,1,0.151338853,0.411576042,40067.5,5.5,5.611988941
Oconee,11,169,0,1,0,0,0.097681826,0.170412316,89600,11.33333333,5.049831989
