,Run_Number,Model_Name,Model_Accuracy,Num_Features,Dataset,Param_Name,Param_Value
0,0,svm,0.9705882352941176,All,divorce,C,1
1,1,svm,0.8823529411764706,All,divorce,C,1
2,2,svm,0.9705882352941176,All,divorce,C,1
3,3,svm,0.9705882352941176,All,divorce,C,1
4,4,svm,0.9705882352941176,All,divorce,C,1
5,5,svm,1.0,All,divorce,C,1
6,6,svm,1.0,All,divorce,C,1
7,7,svm,0.9705882352941176,All,divorce,C,1
8,8,svm,0.9411764705882353,All,divorce,C,1
9,9,svm,1.0,All,divorce,C,1
10,10,svm,0.9411764705882353,All,divorce,C,1
11,11,svm,1.0,All,divorce,C,1
12,12,svm,1.0,All,divorce,C,1
13,13,svm,1.0,All,divorce,C,1
14,14,svm,0.9705882352941176,All,divorce,C,1
15,15,svm,0.9411764705882353,All,divorce,C,1
16,16,svm,1.0,All,divorce,C,1
17,17,svm,1.0,All,divorce,C,1
18,18,svm,1.0,All,divorce,C,1
19,19,svm,0.9411764705882353,All,divorce,C,1
20,0,svm,0.9705882352941176,All,divorce,C,5
21,1,svm,0.9705882352941176,All,divorce,C,5
22,2,svm,0.9411764705882353,All,divorce,C,5
23,3,svm,0.9705882352941176,All,divorce,C,5
24,4,svm,0.9411764705882353,All,divorce,C,5
25,5,svm,0.9411764705882353,All,divorce,C,5
26,6,svm,0.9411764705882353,All,divorce,C,5
27,7,svm,0.9411764705882353,All,divorce,C,5
28,8,svm,1.0,All,divorce,C,5
29,9,svm,1.0,All,divorce,C,5
30,10,svm,0.9705882352941176,All,divorce,C,5
31,11,svm,0.9705882352941176,All,divorce,C,5
32,12,svm,0.9705882352941176,All,divorce,C,5
33,13,svm,1.0,All,divorce,C,5
34,14,svm,1.0,All,divorce,C,5
35,15,svm,1.0,All,divorce,C,5
36,16,svm,0.9411764705882353,All,divorce,C,5
37,17,svm,1.0,All,divorce,C,5
38,18,svm,0.9705882352941176,All,divorce,C,5
39,19,svm,0.9705882352941176,All,divorce,C,5
40,0,svm,0.9411764705882353,All,divorce,C,10
41,1,svm,1.0,All,divorce,C,10
42,2,svm,0.9117647058823529,All,divorce,C,10
43,3,svm,0.9705882352941176,All,divorce,C,10
44,4,svm,0.9705882352941176,All,divorce,C,10
45,5,svm,1.0,All,divorce,C,10
46,6,svm,0.9117647058823529,All,divorce,C,10
47,7,svm,0.9705882352941176,All,divorce,C,10
48,8,svm,0.9705882352941176,All,divorce,C,10
49,9,svm,0.9705882352941176,All,divorce,C,10
50,10,svm,1.0,All,divorce,C,10
51,11,svm,0.9705882352941176,All,divorce,C,10
52,12,svm,1.0,All,divorce,C,10
53,13,svm,0.9705882352941176,All,divorce,C,10
54,14,svm,0.9705882352941176,All,divorce,C,10
55,15,svm,0.9705882352941176,All,divorce,C,10
56,16,svm,1.0,All,divorce,C,10
57,17,svm,0.9411764705882353,All,divorce,C,10
58,18,svm,0.9411764705882353,All,divorce,C,10
59,19,svm,1.0,All,divorce,C,10
60,0,svm,0.9705882352941176,All,divorce,C,100
61,1,svm,0.9705882352941176,All,divorce,C,100
62,2,svm,0.9705882352941176,All,divorce,C,100
63,3,svm,0.9117647058823529,All,divorce,C,100
64,4,svm,0.9411764705882353,All,divorce,C,100
65,5,svm,1.0,All,divorce,C,100
66,6,svm,1.0,All,divorce,C,100
67,7,svm,0.9705882352941176,All,divorce,C,100
68,8,svm,0.9705882352941176,All,divorce,C,100
69,9,svm,1.0,All,divorce,C,100
70,10,svm,0.9705882352941176,All,divorce,C,100
71,11,svm,1.0,All,divorce,C,100
72,12,svm,0.9705882352941176,All,divorce,C,100
73,13,svm,1.0,All,divorce,C,100
74,14,svm,1.0,All,divorce,C,100
75,15,svm,1.0,All,divorce,C,100
76,16,svm,1.0,All,divorce,C,100
77,17,svm,0.9411764705882353,All,divorce,C,100
78,18,svm,1.0,All,divorce,C,100
79,19,svm,0.9705882352941176,All,divorce,C,100
80,0,svm,0.8823529411764706,2,divorce,C,1
81,1,svm,0.9411764705882353,2,divorce,C,1
82,2,svm,0.8529411764705882,2,divorce,C,1
83,3,svm,0.9411764705882353,2,divorce,C,1
84,4,svm,0.9117647058823529,2,divorce,C,1
85,5,svm,0.9117647058823529,2,divorce,C,1
86,6,svm,0.9117647058823529,2,divorce,C,1
87,7,svm,0.9411764705882353,2,divorce,C,1
88,8,svm,0.8823529411764706,2,divorce,C,1
89,9,svm,0.8529411764705882,2,divorce,C,1
90,10,svm,0.9705882352941176,2,divorce,C,1
91,11,svm,0.9117647058823529,2,divorce,C,1
92,12,svm,0.8823529411764706,2,divorce,C,1
93,13,svm,0.8529411764705882,2,divorce,C,1
94,14,svm,0.9117647058823529,2,divorce,C,1
95,15,svm,0.9705882352941176,2,divorce,C,1
96,16,svm,0.9411764705882353,2,divorce,C,1
97,17,svm,0.9411764705882353,2,divorce,C,1
98,18,svm,0.8529411764705882,2,divorce,C,1
99,19,svm,0.7941176470588235,2,divorce,C,1
100,0,svm,0.8235294117647058,2,divorce,C,5
101,1,svm,0.8529411764705882,2,divorce,C,5
102,2,svm,0.8823529411764706,2,divorce,C,5
103,3,svm,0.9705882352941176,2,divorce,C,5
104,4,svm,0.9411764705882353,2,divorce,C,5
105,5,svm,0.8823529411764706,2,divorce,C,5
106,6,svm,0.8235294117647058,2,divorce,C,5
107,7,svm,0.8235294117647058,2,divorce,C,5
108,8,svm,0.9117647058823529,2,divorce,C,5
109,9,svm,0.8529411764705882,2,divorce,C,5
110,10,svm,0.8823529411764706,2,divorce,C,5
111,11,svm,0.8235294117647058,2,divorce,C,5
112,12,svm,0.9117647058823529,2,divorce,C,5
113,13,svm,1.0,2,divorce,C,5
114,14,svm,0.9117647058823529,2,divorce,C,5
115,15,svm,0.9117647058823529,2,divorce,C,5
116,16,svm,0.9411764705882353,2,divorce,C,5
117,17,svm,0.9411764705882353,2,divorce,C,5
118,18,svm,0.8235294117647058,2,divorce,C,5
119,19,svm,0.8823529411764706,2,divorce,C,5
120,0,svm,0.8823529411764706,2,divorce,C,10
121,1,svm,0.9117647058823529,2,divorce,C,10
122,2,svm,0.8529411764705882,2,divorce,C,10
123,3,svm,0.8529411764705882,2,divorce,C,10
124,4,svm,0.8235294117647058,2,divorce,C,10
125,5,svm,0.8529411764705882,2,divorce,C,10
126,6,svm,0.9117647058823529,2,divorce,C,10
127,7,svm,0.9117647058823529,2,divorce,C,10
128,8,svm,0.9117647058823529,2,divorce,C,10
129,9,svm,1.0,2,divorce,C,10
130,10,svm,0.9705882352941176,2,divorce,C,10
131,11,svm,0.8529411764705882,2,divorce,C,10
132,12,svm,0.9117647058823529,2,divorce,C,10
133,13,svm,0.9411764705882353,2,divorce,C,10
134,14,svm,0.8823529411764706,2,divorce,C,10
135,15,svm,0.9705882352941176,2,divorce,C,10
136,16,svm,0.8823529411764706,2,divorce,C,10
137,17,svm,0.8823529411764706,2,divorce,C,10
138,18,svm,0.9117647058823529,2,divorce,C,10
139,19,svm,0.9117647058823529,2,divorce,C,10
140,0,svm,0.8529411764705882,2,divorce,C,100
141,1,svm,0.8529411764705882,2,divorce,C,100
142,2,svm,0.8823529411764706,2,divorce,C,100
143,3,svm,0.9117647058823529,2,divorce,C,100
144,4,svm,0.8823529411764706,2,divorce,C,100
145,5,svm,0.9411764705882353,2,divorce,C,100
146,6,svm,0.8823529411764706,2,divorce,C,100
147,7,svm,0.9117647058823529,2,divorce,C,100
148,8,svm,0.9705882352941176,2,divorce,C,100
149,9,svm,0.9117647058823529,2,divorce,C,100
150,10,svm,0.9117647058823529,2,divorce,C,100
151,11,svm,0.8235294117647058,2,divorce,C,100
152,12,svm,0.9117647058823529,2,divorce,C,100
153,13,svm,0.8529411764705882,2,divorce,C,100
154,14,svm,0.8823529411764706,2,divorce,C,100
155,15,svm,0.9117647058823529,2,divorce,C,100
156,16,svm,0.8823529411764706,2,divorce,C,100
157,17,svm,0.9705882352941176,2,divorce,C,100
158,18,svm,0.8235294117647058,2,divorce,C,100
159,19,svm,0.8823529411764706,2,divorce,C,100
160,0,svm,0.4824120603015075,All,digits,C,1
161,1,svm,0.5175879396984925,All,digits,C,1
162,2,svm,0.49246231155778897,All,digits,C,1
163,3,svm,0.507537688442211,All,digits,C,1
164,4,svm,0.4899497487437186,All,digits,C,1
165,5,svm,0.5025125628140703,All,digits,C,1
166,6,svm,0.5251256281407035,All,digits,C,1
167,7,svm,0.5276381909547738,All,digits,C,1
168,8,svm,0.49748743718592964,All,digits,C,1
169,9,svm,0.4824120603015075,All,digits,C,1
170,10,svm,0.5175879396984925,All,digits,C,1
171,11,svm,0.5251256281407035,All,digits,C,1
172,12,svm,0.49246231155778897,All,digits,C,1
173,13,svm,0.507537688442211,All,digits,C,1
174,14,svm,0.5452261306532663,All,digits,C,1
175,15,svm,0.4949748743718593,All,digits,C,1
176,16,svm,0.5,All,digits,C,1
177,17,svm,0.535175879396985,All,digits,C,1
178,18,svm,0.5201005025125628,All,digits,C,1
179,19,svm,0.507537688442211,All,digits,C,1
180,0,svm,0.507537688442211,All,digits,C,5
181,1,svm,0.48743718592964824,All,digits,C,5
182,2,svm,0.5527638190954773,All,digits,C,5
183,3,svm,0.5301507537688442,All,digits,C,5
184,4,svm,0.5175879396984925,All,digits,C,5
185,5,svm,0.4849246231155779,All,digits,C,5
186,6,svm,0.5125628140703518,All,digits,C,5
187,7,svm,0.4949748743718593,All,digits,C,5
188,8,svm,0.535175879396985,All,digits,C,5
189,9,svm,0.4798994974874372,All,digits,C,5
190,10,svm,0.542713567839196,All,digits,C,5
191,11,svm,0.5251256281407035,All,digits,C,5
192,12,svm,0.5251256281407035,All,digits,C,5
193,13,svm,0.5226130653266332,All,digits,C,5
194,14,svm,0.5276381909547738,All,digits,C,5
195,15,svm,0.4899497487437186,All,digits,C,5
196,16,svm,0.5150753768844221,All,digits,C,5
197,17,svm,0.5175879396984925,All,digits,C,5
198,18,svm,0.4748743718592965,All,digits,C,5
199,19,svm,0.542713567839196,All,digits,C,5
200,0,svm,0.48743718592964824,All,digits,C,10
201,1,svm,0.507537688442211,All,digits,C,10
202,2,svm,0.4849246231155779,All,digits,C,10
203,3,svm,0.5125628140703518,All,digits,C,10
204,4,svm,0.5552763819095478,All,digits,C,10
205,5,svm,0.5527638190954773,All,digits,C,10
206,6,svm,0.5175879396984925,All,digits,C,10
207,7,svm,0.4824120603015075,All,digits,C,10
208,8,svm,0.5376884422110553,All,digits,C,10
209,9,svm,0.5025125628140703,All,digits,C,10
210,10,svm,0.5251256281407035,All,digits,C,10
211,11,svm,0.5276381909547738,All,digits,C,10
212,12,svm,0.507537688442211,All,digits,C,10
213,13,svm,0.5226130653266332,All,digits,C,10
214,14,svm,0.5201005025125628,All,digits,C,10
215,15,svm,0.5125628140703518,All,digits,C,10
216,16,svm,0.5201005025125628,All,digits,C,10
217,17,svm,0.4899497487437186,All,digits,C,10
218,18,svm,0.49748743718592964,All,digits,C,10
219,19,svm,0.5226130653266332,All,digits,C,10
220,0,svm,0.5226130653266332,All,digits,C,100
221,1,svm,0.4899497487437186,All,digits,C,100
222,2,svm,0.5125628140703518,All,digits,C,100
223,3,svm,0.535175879396985,All,digits,C,100
224,4,svm,0.5100502512562815,All,digits,C,100
225,5,svm,0.507537688442211,All,digits,C,100
226,6,svm,0.5301507537688442,All,digits,C,100
227,7,svm,0.5175879396984925,All,digits,C,100
228,8,svm,0.4824120603015075,All,digits,C,100
229,9,svm,0.5251256281407035,All,digits,C,100
230,10,svm,0.5301507537688442,All,digits,C,100
231,11,svm,0.5251256281407035,All,digits,C,100
232,12,svm,0.5276381909547738,All,digits,C,100
233,13,svm,0.5125628140703518,All,digits,C,100
234,14,svm,0.5025125628140703,All,digits,C,100
235,15,svm,0.47738693467336685,All,digits,C,100
236,16,svm,0.535175879396985,All,digits,C,100
237,17,svm,0.48743718592964824,All,digits,C,100
238,18,svm,0.5201005025125628,All,digits,C,100
239,19,svm,0.5125628140703518,All,digits,C,100
